서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 당일 사망자
2022.04.14.00,3275574,24976,4230,2022.04.14.00,15979061,148443,318
2022.04.13.00,3250603,33076,4176,2022.04.13.00,15830644,195419,184
2022.04.12.00,3217532,39518,4152,2022.04.12.00,15635274,210755,171
2022.04.11.00,3178037,14247,4116,2022.04.11.00,15424598,90928,258
2022.04.10.00,3163790,28901,4070,2022.04.10.00,15333670,164481,329
2022.04.09.00,3134889,32320,4002,2022.04.09.00,15169189,185566,338
2022.04.08.00,3102577,36212,3944,2022.04.08.00,14983694,205333,373
2022.04.07.00,3066376,39888,3880,2022.04.07.00,14778405,224820,348
2022.04.06.00,3026503,52430,3835,2022.04.06.00,14553644,286294,371
2022.04.05.00,2974084,51500,3771,2022.04.05.00,14267401,266135,209
2022.04.04.00,2922636,20894,3742,2022.04.04.00,14001406,127190,218
2022.04.03.00,2901742,42109,3713,2022.04.03.00,13874216,234301,306
2022.04.02.00,2859633,48673,3666,2022.04.02.00,13639915,264103,339
2022.04.01.00,2810973,51717,3608,2022.04.01.00,13375818,280273,360
2022.03.31.00,2759294,60131,3563,2022.03.31.00,13095631,320743,375
2022.03.30.00,2699163,81824,3514,2022.03.30.00,12774956,424641,432
2022.03.29.00,2617360,66079,3454,2022.03.29.00,12350428,347554,237
2022.03.28.00,2551327,34190,3412,2022.03.28.00,12003054,187213,287
2022.03.27.00,2517137,59151,3372,2022.03.27.00,11815841,318130,282
2022.03.26.00,2457986,64026,3343,2022.03.26.00,11497711,335531,323
2022.03.25.00,2393995,66943,3307,2022.03.25.00,11162232,339514,393
2022.03.24.00,2327080,77770,3248,2022.03.24.00,10822836,395598,470
2022.03.23.00,2249310,101133,3187,2022.03.23.00,10427247,490881,291
2022.03.22.00,2148186,65033,3144,2022.03.22.00,9936540,353980,384
2022.03.21.00,2083188,41078,3098,2022.03.21.00,9582815,209169,329
2022.03.20.00,2042110,65870,3059,2022.03.20.00,9373646,334708,327
2022.03.19.00,2038438,82132,3015,2022.03.19.00,9038938,381454,319
2022.03.18.00,1894113,81997,2968,2022.03.18.00,8657609,407017,301
2022.03.17.00,1812116,128375,2927,2022.03.17.00,8250592,621266,429
2022.03.16.00,1683745,81395,2860,2022.03.16.00,7629275,400741,164
2022.03.15.00,1602354,66067,2834,2022.03.15.00,7228550,362338,0
2022.03.14.00,1536292,56807,2792,2022.03.14.00,6866222,309790,0
2022.03.13.00,1479502,67814,2768,2022.03.13.00,6556453,350190,0
2022.03.12.00,1411694,80437,2739,2022.03.12.00,6206277,383665,0
2022.03.11.00,1331263,56603,2693,2022.03.11.00,5822626,282987,0
2022.03.10.00,1274661,66859,2661,2022.03.10.00,5539650,327549,0
2022.03.09.00,1207803,74222,2630,2022.03.09.00,5212118,342446,0
2022.03.08.00,1133589,37484,2607,2022.03.08.00,4869691,202721,0
2022.03.07.00,1096106,39558,2582,2022.03.07.00,4666977,210716,0
2022.03.06.00,1056548,49450,2559,2022.03.06.00,4456264,243628,0
2022.03.05.00,1007099,53193,2533,2022.03.05.00,4212652,254327,0
2022.03.04.00,953906,59269,2502,2022.03.04.00,3958326,266853,0
2022.03.03.00,894637,43675,2468,2022.03.03.00,3691488,198803,0
2022.03.02.00,850962,46933,2450,2022.03.02.00,3492686,219241,0
2022.03.01.00,804029,27885,2432,2022.03.01.00,3273449,138993,0
2022.02.28.00,776144,27973,2406,2022.02.28.00,3134456,139626,0
2022.02.27.00,748173,35351,2370,2022.02.27.00,2994841,163566,
2022.02.26.00,712822,36829,2363,2022.02.26.00,2831283,166209,
2022.02.25.00,675993,35614,2343,2022.02.25.00,2665077,165890,
2022.02.24.00,640379,37172,2331,2022.02.24.00,2499188,170016,
2022.02.23.00,603209,41467,2320,2022.02.23.00,2329182,171452,
2022.02.22.00,561744,21807,2307,2022.02.22.00,2157734,99573,
2022.02.21.00,539938,20018,2297,2022.02.21.00,2058184,95362,
2022.02.20.00,519923,22102,2287,2022.02.20.00,1962837,104829,
2022.02.19.00,497821,23193,2283,2022.02.19.00,1858009,102211,
2022.02.18.00,474628,25651,2272,2022.02.18.00,1755806,109831,
2022.02.17.00,448977,19689,2264,2022.02.17.00,1645978,93135,
2022.02.16.00,429289,18879,2257,2022.02.16.00,1552851,90443,
2022.02.15.00,410410,12453,2249,2022.02.15.00,1462421,57177,
2022.02.14.00,397957,11599,2242,2022.02.14.00,1405246,54619,
2022.02.13.00,386358,11824,2237,2022.02.13.00,1350630,56431,
